,open,high,low,close,volume,trade_count,vwap
2021-08-20,682.85,692.1299,673.7,680.26,14944925,335152,680.062514
2021-08-23,685.0,712.1299,680.7505,706.3,20257206,461064,703.086492
2021-08-24,710.66,715.22,702.64,708.49,13082432,309462,708.22444
2021-08-25,706.73,716.97,704.0,711.2,12643343,292629,711.752407
2021-08-26,708.4,715.4,697.6201,701.16,13199113,320793,705.546294
2021-08-27,705.41,715.0,702.1001,711.92,13820033,318079,710.593659
2021-08-30,714.51,731.0,712.73,730.91,18621884,468531,725.158195
2021-08-31,733.0,740.39,726.44,735.72,20817561,421184,734.681557
2021-09-01,734.0,741.99,731.2701,734.09,13211735,322313,736.580018
2021-09-02,734.88,740.97,730.54,732.39,12790674,310187,735.433373
2021-09-03,732.14,734.0,724.2,733.57,15268795,356869,729.368987
2021-09-07,740.0,760.2,739.26,752.92,20036814,499392,752.705285
2021-09-08,761.43,764.45,740.7733,753.87,18696085,447048,752.566551
2021-09-09,753.41,762.1,751.6301,754.86,14074408,331890,756.803151
2021-09-10,759.56,762.61,734.5201,736.27,15180363,380795,749.703808
2021-09-13,740.07,744.78,708.85,743.0,22940244,505741,728.541134
2021-09-14,742.84,754.47,736.4,744.49,18555216,391144,745.714189
2021-09-15,745.0,756.86,738.36,755.83,15352682,351113,748.883832
2021-09-16,752.83,758.91,747.61,756.99,13919203,289874,753.246768
2021-09-17,756.95,761.04,750.0,759.49,28191962,382649,757.463463
2021-09-20,734.13,742.0,718.6249,730.17,24838933,553246,729.818872
2021-09-21,735.0,744.7399,730.44,739.38,16325386,314158,739.41859
2021-09-22,743.43,753.6699,739.12,751.94,15088421,318119,747.914508
2021-09-23,755.0,758.2,747.92,753.64,11922183,285583,753.391826
2021-09-24,745.98,774.8,744.56,774.39,21462293,471088,763.25386
2021-09-27,773.42,799.0,769.31,791.36,28034298,605245,786.951379
2021-09-28,787.28,795.64,766.1801,777.56,25359698,535646,780.700487
2021-09-29,779.8,793.5,770.68,781.31,20890904,416124,782.390721
2021-09-30,780.0,789.1305,775.0,775.48,17867446,361432,782.120009
2021-10-01,778.4,780.78,763.59,775.22,17023634,363954,772.146796
2021-10-04,796.35,806.9699,776.12,781.53,30434636,639254,790.545734
2021-10-05,783.75,797.31,774.2,780.59,18412658,401085,785.246078
2021-10-06,776.26,786.66,773.22,782.75,14562520,330980,780.795807
2021-10-07,784.9,805.0,783.38,793.61,19182495,412102,792.139721
2021-10-08,796.38,796.38,780.91,785.49,16726161,401025,787.125812
2021-10-11,787.94,801.24,785.5,791.94,14183219,345728,794.879367
2021-10-12,800.63,812.32,796.57,805.72,21979621,498557,806.770233
2021-10-13,809.91,815.41,805.78,811.08,14060887,346002,809.692057
2021-10-14,815.42,820.25,813.3501,818.32,12229508,303839,817.395407
2021-10-15,824.53,843.21,822.35,843.03,18877912,453420,833.23086
2021-10-18,851.47,875.26,851.47,870.11,24136885,593622,865.072889
2021-10-19,877.35,877.95,862.51,864.27,17359043,477569,869.692174
2021-10-20,865.26,869.49,857.38,865.8,13975882,400821,864.2958
2021-10-21,856.5,900.0,855.5046,894.0,31437542,736743,889.043193
2021-10-22,894.8,910.0,890.96,909.68,22759031,573892,904.300177
2021-10-25,951.5,1045.02,944.2,1024.86,62816932,1653754,990.267664
2021-10-26,1024.17,1094.94,1001.44,1018.43,62336885,1715227,1043.846245
2021-10-27,1038.18,1070.88,1030.78,1037.86,38329773,929339,1048.683644
2021-10-28,1067.99,1081.0,1054.2,1077.04,27170458,664610,1070.142215
