,High,Low,Mid,Last,Bid,Ask,Volume
2021-10-06,55555.0,50438.0,55120.5,55121.35366888,55120.0,55121.0,10197.07809737
2021-10-07,55743.0,53429.0,53908.5,53907.0,53908.0,53909.0,5283.88622837
2021-10-08,56000.0,53628.0,54175.5,54175.0,54175.0,54176.0,5489.84545995
2021-10-09,55475.0,53678.0,54890.5,54882.0,54890.0,54891.0,2429.96401782
2021-10-10,56450.0,54114.0,54840.5,54830.0,54840.0,54841.0,5642.55170139
2021-10-11,57821.0,54363.0,57237.5,57235.36061439,57237.0,57238.0,7699.4106106
2021-10-12,57661.0,53837.51997218,56264.0,56258.0,56263.0,56265.0,5897.25622136
2021-10-13,57775.0,54300.0,57487.5,57487.0,57487.0,57488.0,3078.95343798
2021-10-14,58488.0,56855.0,57572.5,57570.0,57571.0,57574.0,4631.65092795
2021-10-15,62900.0,56881.0,61382.5,61394.0,61382.0,61383.0,11752.8893687
2021-10-16,62333.0,60171.0,60922.5,60921.0,60922.0,60923.0,4380.24730986
2021-10-17,61475.0,59019.0,61104.5,61104.0,61104.0,61105.0,4846.59660168
2021-10-18,62682.0,59883.0,61828.5,61825.0,61827.0,61830.0,8747.14951821
2021-10-19,64291.0,61368.0,63905.5,63905.0,63905.0,63906.0,8952.16280533
2021-10-20,66958.0,63535.0,65952.5,65949.71966598,65952.0,65953.0,9385.87735753
2021-10-21,66643.0,61855.0,62534.5,62534.0,62534.0,62535.0,13338.56478536
2021-10-22,63729.0,60013.0,60741.5,60742.0,60741.0,60742.0,6403.54385861
2021-10-23,61764.0,59755.0,61031.5,61034.67920156,61031.0,61032.0,2730.0923265
2021-10-24,61476.0,59533.0,60964.5,60965.0,60964.0,60965.0,2886.00426308
2021-10-25,63666.0,60632.0,62999.5,62988.0,62999.0,63000.0,3695.6142324
2021-10-26,63332.60744575,59830.0,60137.5,60138.0,60137.0,60138.0,4505.84125378
